DataSource,USGS_or_Durham_station_ID,Sample_date,Sample_time,Instantaneous_flow_cfs,Daily_mean_flow_cfs,Dissolved_oxygen_mg/L,pH_standard_units,Specific_conductance_µS/cm_25C,Water_temperature_C,Turbidity_unfiltered_NTU,Ammonia+organicN_unfiltered_mg/L_N,Nitrate+nitrite_unfiltered_mg/L_N,Nitrate+nitrite_filtered_mg/L_ N,Total nitrogen_computed_mg/L_N,Phosphorus_unfiltered_mg/L_P     
City of Durham,EL7.9EC,9/25/12,1000,0.18,0.18,7.69,7.38,199,15.5,3.55,0.4,0.2,--,0.6,0.05
City of Durham,EL7.9EC,10/23/12,1010,0.38,0.34,7.68,7.22,186.5,12.6,2.72,<0.12,E0.04,--,<0.16,0.04
City of Durham,EL7.9EC,11/13/12,1045,0.47,0.78,6.56,7.07,289.9,11.9,4.89,E0.29,E0.04,--,E0.33,0.07
City of Durham,EL7.9EC,12/11/12,1035,0.38,0.31,5.57,6.96,236.8,14,2.75,0.44,E0.06,--,0.5,0.19
City of Durham,EL7.9EC,1/15/13,1045,2.94,2.52,10.52,7.26,154,11.3,1.47,E0.48,0.3,--,E0.78,0.06
City of Durham,EL7.9EC,2/12/13,1056,1.03,1.12,11.69,7.05,280.6,9,8.97,0.46,0.2,--,0.66,0.08
City of Durham,EL7.9EC,3/12/13,1013,175.66,38.65,10.35,7.46,82.3,13.4,115,1.21,0.2,--,1.41,0.35
City of Durham,EL7.9EC,4/16/13,950,0.87,0.84,5.61,7.27,234.9,17.4,2.2,0.47,E0.03,--,0.5,0.07
City of Durham,EL7.9EC,5/8/13,953,2.63,2.8,9.23,7.36,150.4,15.1,20.3,0.44,0.22,--,0.66,0.12
City of Durham,EL7.9EC,6/11/13,1010,8.26,8.78,8.1,7.23,133.9,22.5,22.5,0.86,0.2,--,1.06,0.14
City of Durham,EL7.9EC,7/16/13,1025,0.87,0.97,6.5,7.34,213.5,23.8,4.3,0.51,0.34,--,0.85,0.11
City of Durham,EL7.9EC,8/6/13,1018,17.13,4.59,7.83,7.3,129.9,22.6,23.3,0.79,0.22,--,1.01,0.14
City of Durham,EL7.9EC,9/10/13,1027,0.11,0.11,3.97,6.95,234.6,22.1,1.8,0.33,E0.05,--,0.38,0.07
City of Durham,EL7.9EC,10/15/13,1033,0.29,0.32,8.2,7.47,206.3,16,5.7,0.38,E0.02,--,0.4,0.58
City of Durham,EL7.9EC,11/12/13,1102,0.38,0.37,8.41,7.3,250.1,8.7,10.1,E0.26,<0.008,--,E0.26,0.03
City of Durham,EL7.9EC,12/3/13,1023,0.72,0.16,10.22,7.17,218.3,5.7,4.49,0.36,E0.02,--,0.38,<0.02
City of Durham,EL7.9EC,1/13/15,1100,8.87,9.13,12.3,6.72,109,5.7,31.6,0.46,0.41,--,0.87,0.11
