DataSource,USGS_or_Durham_station_ID,Sample_date,Sample_time,Instantaneous_flow_cfs,Daily_mean_flow_cfs,Dissolved_oxygen_mg/L,pH_standard_units,Specific_conductance_µS/cm_25C,Water_temperature_C,Turbidity_unfiltered_NTU,Ammonia+organicN_unfiltered_mg/L_N,Nitrate+nitrite_unfiltered_mg/L_N,Nitrate+nitrite_filtered_mg/L_ N,Total nitrogen_computed_mg/L_N,Total_nitrogen_measured_mg/L_N,Phosphorus_unfiltered_mg/L_P     
City of Durham,NH3.3SC,12/11/12,1120,E0.36,E0.36,6.62,7.09,284.8,13.5,3.37,0.28,E0.02,--,E0.3,--,0.09
City of Durham,NH3.3SC,1/23/13,930,0.92,1,12.03,6.94,295.3,2.3,14.6,0.53,0.4,--,0.93,--,0.06
City of Durham,NH3.3SC,2/20/13,909,3.36,3.08,11.6,E6.96,285.4,4.6,20,0.38,0.3,--,0.68,--,0.07
City of Durham,NH3.3SC,3/20/13,907,1.26,1.27,9.47,7.11,242.5,8.7,10.7,0.34,0.23,--,0.57,--,0.05
City of Durham,NH3.3SC,4/24/13,858,1.26,0.97,7.86,7.23,295.4,13.7,5.9,0.42,0.13,--,0.55,--,0.1
City of Durham,NH3.3SC,5/21/13,927,34.7,23.3,9.88,7.12,150.1,19.3,58.3,1.09,0.31,--,1.4,--,0.2
City of Durham,NH3.3SC,6/19/13,933,3.84,4.68,6.6,6.98,147.4,22.3,53.9,0.59,0.22,--,0.81,--,0.13
City of Durham,NH3.3SC,7/24/13,936,1.67,1.59,6.26,7.35,292,24.5,4.9,0.68,0.62,--,1.3,--,E0.09
City of Durham,NH3.3SC,8/21/13,928,0.92,0.94,6.78,7.25,226,22.6,12.3,0.7,0.51,--,1.21,--,0.15
City of Durham,NH3.3SC,9/18/13,917,0.17,0.16,5.97,7.37,453,16.5,2.4,0.33,0.18,--,0.51,--,0.09
City of Durham,NH3.3SC,10/24/13,934,0.25,0.34,6.14,7.2,285.1,10.9,3.16,0.22,<0.008,--,E0.22,--,0.06
City of Durham,NH3.3SC,11/20/13,905,0.58,0.58,6.66,7.24,345.5,7.7,2.1,0.44,0.24,--,0.68,--,0.04
City of Durham,NH3.3SC,12/11/13,926,2.52,2.86,10.78,6.8,145.2,5.6,59.5,0.58,0.35,--,0.93,--,0.13
City of Durham,NH3.3SC,1/15/14,754,5.92,5.96,12.21,6.95,144,7.3,76.4,0.74,0.31,--,1.05,--,0.12
City of Durham,NH3.3SC,2/18/14,951,2.33,2.93,12.36,7.02,416,5.1,38,0.39,0.43,--,0.82,--,0.07
City of Durham,NH3.3SC,3/12/14,825,3.59,8.66,9.61,6.86,336,11.2,33.7,0.15,0.34,--,E0.49,--,0.07
USGS,209722970,4/8/14,1100,15,14.2,9.4,7.1,202,13,--,--,--,0.5,--,1.17,0.124
City of Durham,NH3.3SC,4/16/14,835,7.02,7.45,9.28,6.06,160.5,11.3,62.7,0.81,0.14,--,0.95,--,0.13
USGS,209722970,4/30/14,1200,13,9.69,7.5,7.1,186,16.9,--,--,--,0.332,--,1.2,0.168
City of Durham,NH3.3SC,5/14/14,845,0.92,0.85,5.98,7.39,381.8,21,10.4,0.54,0.23,--,0.77,--,0.05
USGS,209722970,5/28/14,840,2.9,3.06,6.2,6.9,175,21.5,--,--,--,0.423,--,1.51,0.488
City of Durham,NH3.3SC,6/18/14,835,0.38,0.38,5.91,7.42,296,23.3,5.49,0.27,0.21,--,E0.48,--,0.07
City of Durham,NH3.3SC,7/15/14,847,0.73,33.2,5.93,7.46,308,24.7,4.85,0.61,0.26,--,0.87,--,0.15
City of Durham,NH3.3SC,8/13/14,848,19.7,17.9,7.1,6.74,112,23.1,258,0.81,0.35,--,1.16,--,0.3
City of Durham,NH3.3SC,9/10/14,853,1.26,1.25,6.31,6.97,198,21.9,16.6,0.39,0.26,--,0.65,--,0.08
City of Durham,NH3.3SC,10/15/14,930,43.9,27.3,7.6,6.63,94.6,20.5,174,1.15,0.24,--,1.39,--,--
City of Durham,NH3.3SC,11/12/14,837,0.12,0.1,5.68,6.6,208,11,2.82,0.4,<0.02,--,0.41,--,0.12
City of Durham,NH3.3SC,12/9/14,855,13.1,25.2,10.31,6.75,265,6.7,14.3,0.3,0.16,--,0.46,--,E0.06
City of Durham,NH3.3SC,1/21/15,917,2.15,2.19,11.22,6.74,252,6.4,20.7,0.15,0.29,--,E0.44,--,E0.05
City of Durham,NH3.3SC,2/23/15,934,12.7,12.9,12.63,7.12,658,3.8,20.8,0.55,0.32,--,0.87,--,0.06
City of Durham,NH3.3SC,3/18/15,931,1.82,1.69,9.58,7.33,446,10.7,7.8,0.94,0.13,--,1.07,--,0.04
City of Durham,NH3.3SC,4/22/15,845,7.42,4.66,7.72,7.14,283,16.2,11.2,0.62,0.21,--,0.83,--,0.06
City of Durham,NH3.3SC,5/20/15,915,1.67,1.8,--,7.22,273,22.1,11.5,0.5,0.2,--,0.7,--,0.06
City of Durham,NH3.3SC,6/17/15,751,0.73,0.38,5.15,7.39,323,25,45,0.64,0.2,--,0.84,--,0.13
City of Durham,NH3.3SC,7/22/15,755,3.13,3.23,5.18,7,136,25.2,84,0.94,0.44,--,1.38,--,0.18
City of Durham,NH3.3SC,8/19/15,805,0.92,0.86,5.41,7.21,243,23.6,2.92,0.64,0.15,--,0.79,--,0.58
City of Durham,NH3.3SC,9/23/15,900,0.17,0.22,5.94,7.04,234,19.7,5.28,0.43,0.32,--,0.75,--,0.06
City of Durham,NH3.3SC,10/21/15,917,1.14,1.09,8.67,7.1,273,9.2,1.25,<0.19,E0.08,--,<0.27,--,E0.02
City of Durham,NH3.3SC,11/18/15,848,1.52,1.52,8.7,7.07,256,12,6.17,0.74,0.22,--,0.96,--,0.05
City of Durham,NH3.3SC,12/8/15,917,16,3.7,10.74,7.22,281,9.6,E553,1.24,0.34,--,1.58,--,0.53
City of Durham,NH3.3SC,1/12/16,1210,2.15,2.4,12.45,7.12,250,5.6,13.6,0.88,0.38,--,1.26,--,0.09
City of Durham,NH3.3SC,2/9/16,1150,2.72,2.77,E11.03,7.17,413,7.1,11.8,0.56,0.5,--,1.06,--,E0.04
City of Durham,NH3.3SC,3/15/16,1200,21.4,26.7,9.09,6.84,175,16,90.2,--,0.59,--,--,--,0.19
City of Durham,NH3.3SC,4/12/16,1215,14.3,18,8.76,7.17,236,14.9,32.8,0.54,0.23,--,0.77,--,0.13
City of Durham,NH3.3SC,5/10/16,1201,1.39,1.37,6.69,7.16,276,20.5,8.64,0.33,0.33,--,0.66,--,0.1
City of Durham,NH3.3SC,6/14/16,1210,0.25,0.23,6.94,7.23,311,22.3,7.86,0.42,0.37,--,0.79,--,0.07
City of Durham,NH3.3SC,7/12/16,1300,0.92,12.5,5.7,7.15,218,25.2,13.9,0.82,0.22,--,1.04,--,0.05
City of Durham,NH3.3SC,8/9/16,1155,2.33,2.41,6.3,7,213,25.5,9.29,0.83,0.3,--,1.13,--,0.05
City of Durham,NH3.3SC,9/13/16,1240,0.12,0.11,4.44,6.79,278,23.4,3.39,0.52,E0.12,--,0.64,--,0.08
USGS,209722970,10/8/16,1515,865,275,8.6,6.8,55,20.3,230,1.3,--,0.46,1.76,--,0.337
City of Durham,NH3.3SC,10/11/16,1325,1.67,1.64,8.4,7.15,167,16.6,67.8,1.03,0.38,--,1.41,--,0.15
