"DataSource","USGS_or_Durham_station_ID","Sample_date","Sample_time","Instantaneous_flow_cfs","Daily_mean_flow_cfs","Dissolved_oxygen_mg.L","pH_standard_units","Specific_conductance_uS.cm_25C","Water_temperature_C","Turbidity_unfiltered_NTU","Ammonia.organicN_unfiltered_mg.L_N","Nitrate.nitrite_unfiltered_mg.L_N","Nitrate.nitrite_filtered_mg.L_.N","Total.nitrogen_computed_mg.L_N","Total_nitrogen_measured_mg.L_N","Phosphorus_unfiltered_mg.L_P","year"
"City of Durham","NH3.3SC",2012-02-21,1100,1.33,"1.33",11.82,"7.47",285.6,6.1,"14.8","0.5","0.3","--",0.8,"--",0.1,"2012"
"City of Durham","NH3.3SC",2012-03-20,1145,9.43,"6.94",8.71,"7.29",154,17,"89.6","0.9","0.4","--",1.3,"--",0.2,"2012"
"City of Durham","NH3.3SC",2012-04-17,1105,0.7,"0.75",7.55,"7.31",361.4,18.1,"5.95","0.5","E0.077","--",0.577,"--",0.02,"2012"
"City of Durham","NH3.3SC",2012-05-22,1140,0.9,"0.91",7.21,"7.32",308.1,20.4,"4.67","0.4","0.7","--",1.1,"--",0.02,"2012"
"City of Durham","NH3.3SC",2012-06-19,1120,0.9,"1.69",7.57,"7.48",305.5,21.6,"11.2","0.5","0.2","--",0.7,"--",0.11,"2012"
"City of Durham","NH3.3SC",2012-07-17,1010,0.9,"0.86",5.86,"7.39",243.8,25.1,"6.19","0.7","0.1","--",0.8,"--",0.1,"2012"
"City of Durham","NH3.3SC",2012-08-21,1035,0.56,"0.61",6.68,"7.26",150.1,22.4,"30","0.5","0.2","--",0.7,"--",0.09,"2012"
"City of Durham","NH3.3SC",2012-09-25,1055,0.22,"0.24",7.56,"7.25",182.7,16.3,"17.8","0.7","0.2","--",0.9,"--",0.1,"2012"
"City of Durham","NH3.3SC",2012-10-23,1125,NA,"E0.46",7.8,"7.23",222.5,13.5,"3.61","0.2","<0.008","--",NA,"--",0.06,"2012"
"City of Durham","NH3.3SC",2012-11-13,1150,NA,"E1",7.34,"7.28",304.8,11.9,"3.16","0.24","E0.04","--",NA,"--",0.16,"2012"
"City of Durham","NH3.3SC",2012-12-11,1120,NA,"E0.36",6.62,"7.09",284.8,13.5,"3.37","0.28","E0.02","--",NA,"--",0.09,"2012"
"City of Durham","NH3.3SC",2013-01-23,930,0.92,"1",12.03,"6.94",295.3,2.3,"14.6","0.53","0.4","--",0.93,"--",0.06,"2013"
"City of Durham","NH3.3SC",2013-02-20,909,3.36,"3.08",11.6,"E6.96",285.4,4.6,"20","0.38","0.3","--",0.68,"--",0.07,"2013"
"City of Durham","NH3.3SC",2013-03-20,907,1.26,"1.27",9.47,"7.11",242.5,8.7,"10.7","0.34","0.23","--",0.57,"--",0.05,"2013"
"City of Durham","NH3.3SC",2013-04-24,858,1.26,"0.97",7.86,"7.23",295.4,13.7,"5.9","0.42","0.13","--",0.55,"--",0.1,"2013"
"City of Durham","NH3.3SC",2013-05-21,927,34.7,"23.3",9.88,"7.12",150.1,19.3,"58.3","1.09","0.31","--",1.4,"--",0.2,"2013"
"City of Durham","NH3.3SC",2013-06-19,933,3.84,"4.68",6.6,"6.98",147.4,22.3,"53.9","0.59","0.22","--",0.81,"--",0.13,"2013"
"City of Durham","NH3.3SC",2013-07-24,936,1.67,"1.59",6.26,"7.35",292,24.5,"4.9","0.68","0.62","--",1.3,"--",NA,"2013"
"City of Durham","NH3.3SC",2013-08-21,928,0.92,"0.94",6.78,"7.25",226,22.6,"12.3","0.7","0.51","--",1.21,"--",0.15,"2013"
"City of Durham","NH3.3SC",2013-09-18,917,0.17,"0.16",5.97,"7.37",453,16.5,"2.4","0.33","0.18","--",0.51,"--",0.09,"2013"
"City of Durham","NH3.3SC",2013-10-24,934,0.25,"0.34",6.14,"7.2",285.1,10.9,"3.16","0.22","<0.008","--",NA,"--",0.06,"2013"
"City of Durham","NH3.3SC",2013-11-20,905,0.58,"0.58",6.66,"7.24",345.5,7.7,"2.1","0.44","0.24","--",0.68,"--",0.04,"2013"
"City of Durham","NH3.3SC",2013-12-11,926,2.52,"2.86",10.78,"6.8",145.2,5.6,"59.5","0.58","0.35","--",0.93,"--",0.13,"2013"
"City of Durham","NH3.3SC",2014-01-15,754,5.92,"5.96",12.21,"6.95",144,7.3,"76.4","0.74","0.31","--",1.05,"--",0.12,"2014"
"City of Durham","NH3.3SC",2014-02-18,951,2.33,"2.93",12.36,"7.02",416,5.1,"38","0.39","0.43","--",0.82,"--",0.07,"2014"
"City of Durham","NH3.3SC",2014-03-12,825,3.59,"8.66",9.61,"6.86",336,11.2,"33.7","0.15","0.34","--",NA,"--",0.07,"2014"
"USGS","209722970",2014-04-08,1100,15,"14.2",9.4,"7.1",202,13,"--","--","--","0.5",NA,"1.17",0.124,"2014"
"City of Durham","NH3.3SC",2014-04-16,835,7.02,"7.45",9.28,"6.06",160.5,11.3,"62.7","0.81","0.14","--",0.95,"--",0.13,"2014"
"USGS","209722970",2014-04-30,1200,13,"9.69",7.5,"7.1",186,16.9,"--","--","--","0.332",NA,"1.2",0.168,"2014"
"City of Durham","NH3.3SC",2014-05-14,845,0.92,"0.85",5.98,"7.39",381.8,21,"10.4","0.54","0.23","--",0.77,"--",0.05,"2014"
