"DataSource","USGS_or_Durham_station_ID","Sample_date","Sample_time","Instantaneous_flow_cfs","Daily_mean_flow_cfs","Dissolved_oxygen_mg.L","pH_standard_units","Specific_conductance_uS.cm_25C","Water_temperature_C","Turbidity_unfiltered_NTU","Ammonia.organicN_unfiltered_mg.L_N","Nitrate.nitrite_unfiltered_mg.L_N","Nitrate.nitrite_filtered_mg.L_.N","Total.nitrogen_computed_mg.L_N","Phosphorus_unfiltered_mg.L_P","year"
"City of Durham","EL7.9EC",2013-03-12,1013,175.66,38.65,10.35,"7.46","82.3",13.4,"115","1.21","0.2","--",1.41,0.35,"2013"
"City of Durham","EL7.9EC",2013-04-16,950,0.87,0.84,5.61,"7.27","234.9",17.4,"2.2","0.47","E0.03","--",0.5,0.07,"2013"
"City of Durham","EL7.9EC",2013-05-08,953,2.63,2.8,9.23,"7.36","150.4",15.1,"20.3","0.44","0.22","--",0.66,0.12,"2013"
"City of Durham","EL7.9EC",2013-06-11,1010,8.26,8.78,8.1,"7.23","133.9",22.5,"22.5","0.86","0.2","--",1.06,0.14,"2013"
"City of Durham","EL7.9EC",2013-07-16,1025,0.87,0.97,6.5,"7.34","213.5",23.8,"4.3","0.51","0.34","--",0.85,0.11,"2013"
"City of Durham","EL7.9EC",2013-08-06,1018,17.13,4.59,7.83,"7.3","129.9",22.6,"23.3","0.79","0.22","--",1.01,0.14,"2013"
"City of Durham","EL7.9EC",2013-09-10,1027,0.11,0.11,3.97,"6.95","234.6",22.1,"1.8","0.33","E0.05","--",0.38,0.07,"2013"
"City of Durham","EL7.9EC",2013-10-15,1033,0.29,0.32,8.2,"7.47","206.3",16,"5.7","0.38","E0.02","--",0.4,0.58,"2013"
"City of Durham","EL7.9EC",2013-11-12,1102,0.38,0.37,8.41,"7.3","250.1",8.7,"10.1","E0.26","<0.008","--",NA,0.03,"2013"
"City of Durham","EL7.9EC",2013-12-03,1023,0.72,0.16,10.22,"7.17","218.3",5.7,"4.49","0.36","E0.02","--",0.38,0.02,"2013"
"City of Durham","EL7.9EC",2015-01-13,1100,8.87,9.13,12.3,"6.72","109",5.7,"31.6","0.46","0.41","--",0.87,0.11,"2015"
"City of Durham","EL7.9EC",2015-02-10,1050,42.42,34.87,11.78,"6.64","88",6.7,"42.3","0.72","0.29","--",1.01,0.23,"2015"
"City of Durham","EL7.9EC",2015-03-10,1045,2.63,2.63,11.38,"7.49","278",10,"8.9","0.57","0.17","--",0.74,0.03,"2015"
"City of Durham","EL7.9EC",2015-04-14,1043,1.03,1.9,6.2,"7.31","323",18.7,"9.9","0.45","0.11","--",0.56,0.05,"2015"
"City of Durham","EL7.9EC",2015-05-12,1047,0.72,0.69,6.41,"7.46","279",21.7,"2.4","0.3","0.21","--",0.51,0.05,"2015"
"City of Durham","EL7.9EC",2015-06-09,1035,5.66,4.17,7.14,"7.18","112",22.5,"32.1","0.84","0.45","--",1.29,0.13,"2015"
"City of Durham","EL7.9EC",2015-07-14,911,2.35,2.48,6.45,"7.21","129",24.1,"6.94","1.3","0.24","--",1.54,0.04,"2015"
"City of Durham","EL7.9EC",2015-08-11,945,0.29,1.36,4.82,"7.04","182",23.8,"3.68","0.37","0.15","--",0.52,0.08,"2015"
